GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,PropertiesWithTypeQuerySpecification,27,0,0,0,9,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,GetReferenceToTypeQuerySpecification.LazyHolder,12,0,0,0,4,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,GetManifestationsQuerySpecification.GeneratedPQuery,399,0,0,0,34,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,ParametersWithTypeQuerySpecification.GeneratedPQuery,257,0,0,0,26,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,ReferencesToTypeQuerySpecification.LazyHolder,12,0,0,0,4,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,InstanceOfInstanceSpecificationLinkQuerySpecification.LazyHolder,12,0,0,0,4,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,ReferencesToTypeProcessor,10,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,SubClassOfQuerySpecification.GeneratedPQuery,342,0,0,0,32,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,PropertiesWithTypeQuerySpecification.LazyHolder,12,0,0,0,4,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,GetManifestationsQuerySpecification,31,0,0,0,9,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,ParametersWithTypeQuerySpecification.LazyHolder,12,0,0,0,4,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,InstanceSpecificationLinkQuerySpecification.GeneratedPQuery,222,0,0,0,25,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,ReferencesToTypeQuerySpecification,27,0,0,0,9,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,GetManifestationsProcessor,12,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,GetManifestationsQuerySpecification.LazyHolder,12,0,0,0,4,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,SubClassOfProcessor,10,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,InstanceOfInstanceSpecificationLinkProcessor,10,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,SubClassOfQuerySpecification.LazyHolder,12,0,0,0,4,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,ParametersWithTypeQuerySpecification,27,0,0,0,9,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,GetReferenceToTypeQuerySpecification,27,0,0,0,9,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,GetReferenceToTypeProcessor,10,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,ParametersWithTypeProcessor,10,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,PropertiesWithTypeQuerySpecification.GeneratedPQuery,257,0,0,0,26,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,GetReferenceToTypeQuerySpecification.GeneratedPQuery,196,0,0,0,22,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,InstanceSpecificationLinkProcessor,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,SubClassOfQuerySpecification,27,0,0,0,9,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,ReferencesToTypeQuerySpecification.GeneratedPQuery,408,0,0,0,38,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,InstanceSpecificationLinkQuerySpecification,23,0,0,0,9,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,InstanceSpecificationLinkQuerySpecification.LazyHolder,12,0,0,0,4,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,InstanceOfInstanceSpecificationLinkQuerySpecification.GeneratedPQuery,443,0,0,0,39,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,PropertiesWithTypeProcessor,10,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries.util,InstanceOfInstanceSpecificationLinkQuerySpecification,27,0,0,0,9,0,6,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter,ComposableInstanceSpecification,429,0,48,0,90,0,36,0,12,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter,ComposableOpaqueAction,291,0,22,0,56,0,17,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter,ModelAdapterUtilities,1588,439,221,39,329,85,152,26,35,13
modeladapter-stamp,eu.supersede.dynadapt.modeladapter,ComposableActivityNode,272,0,22,0,53,0,17,0,6,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter,ComposableImpl,0,9,0,0,0,4,0,1,0,1
modeladapter-stamp,eu.supersede.dynadapt.modeladapter,CompositionDirective,44,0,0,0,5,0,1,0,1,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter,ComposableFactory,26,23,5,1,8,6,6,1,1,1
modeladapter-stamp,eu.supersede.dynadapt.modeladapter,ModelAdapter,173,83,18,8,30,18,12,6,2,3
modeladapter-stamp,eu.supersede.dynadapt.modeladapter,ComposableClass,432,169,83,17,100,42,49,14,5,8
modeladapter-stamp,eu.supersede.dynadapt.modeladapter,ComposableExecutionEnvironment,139,0,14,0,38,0,14,0,7,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,InstanceOfInstanceSpecificationLinkMatch.Mutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,ParametersWithTypeMatcher,232,0,2,0,41,0,24,0,23,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,Model_adapter,91,0,2,0,29,0,19,0,18,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,InstanceOfInstanceSpecificationLinkMatch.Immutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,GetManifestationsMatcher,315,0,2,0,47,0,28,0,27,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,ParametersWithTypeMatch.Mutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,GetManifestationsMatch,379,0,56,0,73,0,49,0,21,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,SubClassOfMatch,287,0,42,0,60,0,40,0,19,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,InstanceSpecificationLinkMatch.Immutable,7,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,InstanceSpecificationLinkMatch,195,0,28,0,47,0,31,0,17,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,InstanceSpecificationLinkMatch.Mutable,7,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,SubClassOfMatch.Mutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,GetReferenceToTypeMatcher,232,0,2,0,41,0,24,0,23,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,GetReferenceToTypeMatch.Immutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,ReferencesToTypeMatch,287,0,42,0,60,0,40,0,19,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,GetManifestationsMatch.Mutable,9,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,ParametersWithTypeMatch.Immutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,SubClassOfMatcher,232,0,2,0,41,0,24,0,23,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,InstanceSpecificationLinkMatcher,143,0,2,0,33,0,18,0,17,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,PropertiesWithTypeMatch.Immutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,InstanceOfInstanceSpecificationLinkMatcher,232,0,2,0,41,0,24,0,23,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,ReferencesToTypeMatcher,232,0,2,0,41,0,24,0,23,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,GetReferenceToTypeMatch.Mutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,PropertiesWithTypeMatch,287,0,42,0,60,0,40,0,19,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,ReferencesToTypeMatch.Mutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,PropertiesWithTypeMatch.Mutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,GetReferenceToTypeMatch,287,0,42,0,60,0,40,0,19,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,ReferencesToTypeMatch.Immutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,SubClassOfMatch.Immutable,8,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,GetManifestationsMatch.Immutable,9,0,0,0,3,0,2,0,2,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,ParametersWithTypeMatch,287,0,42,0,60,0,40,0,19,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,InstanceOfInstanceSpecificationLinkMatch,287,0,42,0,60,0,40,0,19,0
modeladapter-stamp,eu.supersede.dynadapt.modeladapter.queries,PropertiesWithTypeMatcher,232,0,2,0,41,0,24,0,23,0
